Pitch,L/R,Balls,Strikes,Runner on 3B,Runner on 2B,Runner on 1B,Outs
Slider,R,0,1,Yes,No,Yes,1
Slider,R,0,0,Yes,No,Yes,1
Slider,L,0,1,Yes,Yes,No,1
Slider,L,0,0,Yes,Yes,No,1
4-Seam Fastball,L,2,2,Yes,Yes,No,0
Curveball,L,1,2,No,Yes,Yes,0
Curveball,L,0,2,No,Yes,Yes,0
4-Seam Fastball,L,0,2,No,Yes,Yes,0
4-Seam Fastball,L,0,1,No,Yes,Yes,0
4-Seam Fastball,L,0,0,No,Yes,Yes,0
4-Seam Fastball,L,3,1,No,No,Yes,0
4-Seam Fastball,L,3,0,No,No,Yes,0
Slider,L,2,0,No,No,Yes,0
Slider,L,1,0,No,No,Yes,0
Slider,L,0,0,No,No,Yes,0
4-Seam Fastball,L,0,0,No,No,No,0
4-Seam Fastball,L,0,2,No,No,Yes,1
Curveball,L,0,1,No,No,Yes,1
Slider,L,0,0,No,No,Yes,1
Slider,R,3,2,No,No,Yes,0
Slider,R,3,1,No,No,Yes,0
Curveball,R,2,1,No,No,Yes,0
Slider,R,1,1,No,No,Yes,0
Slider,R,1,0,No,No,Yes,0
Slider,R,0,0,No,No,Yes,0
4-Seam Fastball,L,3,2,No,No,No,0
Curveball,L,2,2,No,No,No,0
4-Seam Fastball,L,1,2,No,No,No,0
4-Seam Fastball,L,1,2,No,No,No,0
Curveball,L,1,2,No,No,No,0
4-Seam Fastball,L,1,1,No,No,No,0
4-Seam Fastball,L,0,1,No,No,No,0
4-Seam Fastball,L,0,0,No,No,No,0
4-Seam Fastball,R,2,1,No,Yes,Yes,0
Slider,R,1,1,No,Yes,Yes,0
Curveball,R,0,1,No,Yes,Yes,0
Slider,R,0,0,No,Yes,Yes,0
Slider,L,0,1,No,No,Yes,0
Slider,L,0,0,No,No,Yes,0
4-Seam Fastball,L,2,1,No,No,No,0
Slider,L,2,0,No,No,No,0
Slider,L,1,0,No,No,No,0
4-Seam Fastball,L,0,0,No,No,No,0
Slider,L,0,0,No,No,No,2
4-Seam Fastball,R,2,1,No,No,No,1
Slider,R,1,1,No,No,No,1
4-Seam Fastball,R,0,1,No,No,No,1
4-Seam Fastball,R,0,0,No,No,No,1
4-Seam Fastball,R,0,2,No,No,No,0
4-Seam Fastball,R,0,1,No,No,No,0
4-Seam Fastball,R,0,0,No,No,No,0
Slider,L,1,1,No,No,No,2
4-Seam Fastball,L,1,0,No,No,No,2
4-Seam Fastball,L,0,0,No,No,No,2
Slider,R,0,0,No,No,No,1
Slider,L,0,0,No,No,No,1
4-Seam Fastball,R,3,2,No,No,No,0
Curveball,R,2,2,No,No,No,0
Slider,R,2,2,No,No,No,0
4-Seam Fastball,R,2,1,No,No,No,0
4-Seam Fastball,R,2,0,No,No,No,0
Slider,R,1,0,No,No,No,0
Slider,R,0,0,No,No,No,0
Slider,L,1,1,No,Yes,Yes,1
Slider,L,1,0,No,Yes,Yes,1
Slider,L,0,0,No,Yes,Yes,1
Sinker,L,3,2,No,No,Yes,1
Slider,L,3,1,No,No,Yes,1
Sinker,L,3,0,No,No,Yes,1
4-Seam Fastball,L,2,0,No,No,Yes,1
Sinker,L,1,0,No,No,Yes,1
4-Seam Fastball,L,0,0,No,No,Yes,1
Slider,L,1,1,No,No,Yes,0
Slider,L,0,1,No,No,Yes,0
Slider,L,0,0,No,No,Yes,0
4-Seam Fastball,R,0,0,No,No,No,0
4-Seam Fastball,R,3,2,Yes,No,No,2
4-Seam Fastball,R,2,2,Yes,No,No,2
Curveball,R,2,2,Yes,No,No,2
Curveball,R,1,2,Yes,No,No,2
4-Seam Fastball,R,1,1,Yes,No,No,2
Slider,R,0,1,No,Yes,No,2
Slider,R,0,0,No,Yes,No,2
Curveball,L,1,2,No,No,Yes,1
4-Seam Fastball,L,0,2,No,No,Yes,1
Slider,L,0,1,No,No,Yes,1
4-Seam Fastball,L,0,0,No,No,Yes,1
Slider,R,2,2,No,No,Yes,0
Curveball,R,1,2,No,No,Yes,0
Slider,R,0,2,No,No,Yes,0
Slider,R,0,1,No,No,Yes,0
Slider,R,0,0,No,No,Yes,0
4-Seam Fastball,L,3,2,No,No,No,0
4-Seam Fastball,L,2,2,No,No,No,0
Curveball,L,1,2,No,No,No,0
Curveball,L,0,2,No,No,No,0
4-Seam Fastball,L,0,2,No,No,No,0
4-Seam Fastball,L,0,1,No,No,No,0
4-Seam Fastball,L,0,0,No,No,No,0
Curveball,R,1,2,No,No,No,2
Curveball,R,0,2,No,No,No,2
Slider,R,0,1,No,No,No,2
Slider,R,0,0,No,No,No,2
Curveball,L,0,2,No,No,No,1
Slider,L,0,1,No,No,No,1
4-Seam Fastball,L,0,0,No,No,No,1
4-Seam Fastball,L,0,2,No,No,No,0
Slider,L,0,1,No,No,No,0
4-Seam Fastball,L,0,0,No,No,No,0
4-Seam Fastball,L,2,2,No,No,No,2
Slider,L,2,1,No,No,No,2
Slider,L,2,0,No,No,No,2
Slider,L,1,0,No,No,No,2
Curveball,L,0,0,No,No,No,2
Slider,R,3,2,No,No,No,1
Curveball,R,2,2,No,No,No,1
Curveball,R,1,2,No,No,No,1
Curveball,R,1,1,No,No,No,1
Curveball,R,0,1,No,No,No,1
Slider,R,0,0,No,No,No,1
4-Seam Fastball,L,3,2,No,No,No,0
4-Seam Fastball,L,2,2,No,No,No,0
4-Seam Fastball,L,1,2,No,No,No,0
Curveball,L,1,2,No,No,No,0
4-Seam Fastball,L,1,2,No,No,No,0
4-Seam Fastball,L,0,2,No,No,No,0
4-Seam Fastball,L,0,1,No,No,No,0
4-Seam Fastball,L,0,0,No,No,No,0
Curveball,L,0,2,No,Yes,No,2
4-Seam Fastball,L,0,1,No,Yes,No,2
Curveball,L,0,0,No,Yes,No,2
Slider,R,2,2,No,Yes,No,1
4-Seam Fastball,R,1,2,No,Yes,No,1
Slider,R,1,1,No,Yes,No,1
4-Seam Fastball,R,0,1,No,No,Yes,1
Slider,R,0,0,No,No,Yes,1
Curveball,L,1,2,No,No,Yes,0
Curveball,L,1,2,No,No,Yes,0
Slider,L,1,1,No,No,Yes,0
Slider,L,0,1,No,No,Yes,0
Slider,L,0,0,No,No,Yes,0
4-Seam Fastball,R,3,0,No,No,No,0
4-Seam Fastball,R,2,0,No,No,No,0
4-Seam Fastball,R,1,0,No,No,No,0
4-Seam Fastball,R,0,0,No,No,No,0
4-Seam Fastball,L,1,2,No,No,No,2
Curveball,L,1,2,No,No,No,2
Curveball,L,1,2,No,No,No,2
4-Seam Fastball,L,0,2,No,No,No,2
Curveball,L,0,1,No,No,No,2
Curveball,L,0,0,No,No,No,2
4-Seam Fastball,R,0,2,No,No,No,1
Slider,R,0,1,No,No,No,1
Slider,R,0,0,No,No,No,1
Curveball,L,2,2,No,No,No,0
4-Seam Fastball,L,2,2,No,No,No,0
Slider,L,2,1,No,No,No,0
4-Seam Fastball,L,1,1,No,No,No,0
4-Seam Fastball,L,0,1,No,No,No,0
4-Seam Fastball,L,0,0,No,No,No,0
Curveball,R,2,2,Yes,No,No,2
Slider,R,1,2,Yes,No,No,2
4-Seam Fastball,R,1,2,Yes,No,No,2
Curveball,R,1,2,Yes,No,No,2
4-Seam Fastball,R,0,2,Yes,No,No,2
4-Seam Fastball,R,0,2,Yes,No,No,2
Slider,R,0,1,Yes,No,No,2
4-Seam Fastball,R,0,0,Yes,No,No,2
4-Seam Fastball,L,0,2,Yes,No,No,1
Curveball,L,0,1,Yes,No,No,1
4-Seam Fastball,L,0,0,Yes,No,No,1
Curveball,L,1,2,Yes,No,No,0
Curveball,L,0,2,Yes,No,No,0
4-Seam Fastball,L,0,1,Yes,No,No,0
Slider,L,0,0,Yes,No,No,0
4-Seam Fastball,R,0,1,No,No,Yes,0
4-Seam Fastball,R,0,0,No,No,Yes,0
4-Seam Fastball,L,1,1,No,No,No,0
Slider,L,1,0,No,No,No,0
4-Seam Fastball,L,0,0,No,No,No,0
Curveball,R,0,2,No,No,No,2
Slider,R,0,1,No,No,No,2
4-Seam Fastball,R,0,0,No,No,No,2
4-Seam Fastball,L,1,2,No,No,No,1
Curveball,L,1,2,No,No,No,1
Curveball,L,1,2,No,No,No,1
4-Seam Fastball,L,1,1,No,No,No,1
Slider,L,1,0,No,No,No,1
Slider,L,0,0,No,No,No,1
4-Seam Fastball,R,2,2,No,No,No,0
Slider,R,2,1,No,No,No,0
Slider,R,1,1,No,No,No,0
Slider,R,0,1,No,No,No,0
4-Seam Fastball,R,0,0,No,No,No,0
Slider,L,0,0,No,Yes,No,2
4-Seam Fastball,R,1,2,No,Yes,No,1
4-Seam Fastball,R,1,1,No,Yes,No,1
Slider,R,0,1,No,Yes,No,1
Slider,R,0,0,No,Yes,No,1
4-Seam Fastball,L,2,2,No,No,No,1
4-Seam Fastball,L,1,2,No,No,No,1
4-Seam Fastball,L,1,1,No,No,No,1
4-Seam Fastball,L,0,1,No,No,No,1
4-Seam Fastball,L,0,0,No,No,No,1
Slider,L,3,2,No,No,No,0
4-Seam Fastball,L,3,2,No,No,No,0
4-Seam Fastball,L,3,2,No,No,No,0
Slider,L,2,2,No,No,No,0
Curveball,L,1,2,No,No,No,0
Sinker,L,1,1,No,No,No,0
Slider,L,0,1,No,No,No,0
4-Seam Fastball,L,0,0,No,No,No,0
4-Seam Fastball,L,2,2,No,Yes,No,2
Slider,L,2,1,No,Yes,No,2
4-Seam Fastball,L,1,1,No,Yes,No,2
Slider,L,1,0,No,Yes,No,2
4-Seam Fastball,R,2,2,No,Yes,No,1
Slider,R,2,1,No,Yes,No,1
Slider,R,1,1,No,Yes,No,1
4-Seam Fastball,R,0,1,No,Yes,No,1
4-Seam Fastball,R,0,0,No,Yes,No,1
Slider,L,1,0,No,No,Yes,1
4-Seam Fastball,L,0,0,No,No,Yes,1
Curveball,R,0,2,Yes,No,No,1
Slider,R,0,1,Yes,No,No,1
Slider,R,0,0,Yes,No,No,1
Slider,L,1,1,No,Yes,No,0
Slider,L,0,1,No,No,Yes,0
Slider,L,0,0,No,No,Yes,0
Slider,L,0,1,No,No,No,0
4-Seam Fastball,L,0,0,No,No,No,0
4-Seam Fastball,R,0,2,No,No,No,2
4-Seam Fastball,R,0,1,No,No,No,2
4-Seam Fastball,R,0,0,No,No,No,2
Curveball,L,2,2,No,No,No,1
Slider,L,2,1,No,No,No,1
4-Seam Fastball,L,1,1,No,No,No,1
Slider,L,1,0,No,No,No,1
Slider,L,0,0,No,No,No,1
Slider,L,2,2,No,No,No,0
Curveball,L,1,2,No,No,No,0
Curveball,L,0,2,No,No,No,0
Curveball,L,0,1,No,No,No,0
4-Seam Fastball,L,0,0,No,No,No,0
Slider,L,1,2,No,No,No,2
Curveball,L,1,2,No,No,No,2
4-Seam Fastball,L,1,2,No,No,No,2
Curveball,L,1,2,No,No,No,2
Curveball,L,0,2,No,No,No,2
Slider,L,0,1,No,No,No,2
4-Seam Fastball,L,0,0,No,No,No,2
Curveball,R,1,2,No,No,No,1
4-Seam Fastball,R,0,2,No,No,No,1
Slider,R,0,1,No,No,No,1
Slider,R,0,0,No,No,No,1
4-Seam Fastball,L,3,1,No,No,No,0
Slider,L,2,1,No,No,No,0
4-Seam Fastball,L,2,0,No,No,No,0
Slider,L,1,0,No,No,No,0
4-Seam Fastball,L,0,0,No,No,No,0
Slider,R,0,0,No,No,No,2
4-Seam Fastball,L,0,2,No,No,No,1
Slider,L,0,1,No,No,No,1
Slider,L,0,0,No,No,No,1
4-Seam Fastball,L,2,2,No,No,No,0
Curveball,L,1,2,No,No,No,0
Curveball,L,0,2,No,No,No,0
4-Seam Fastball,L,0,1,No,No,No,0
4-Seam Fastball,L,0,0,No,No,No,0
Slider,R,0,0,No,Yes,No,2
Curveball,L,1,2,Yes,Yes,No,1
Curveball,L,0,2,Yes,No,Yes,1
Slider,L,0,1,Yes,No,Yes,1
4-Seam Fastball,L,0,0,Yes,No,Yes,1
Curveball,L,1,2,Yes,No,Yes,0
Slider,L,1,1,Yes,No,Yes,0
Slider,L,1,0,Yes,No,Yes,0
4-Seam Fastball,L,0,0,Yes,No,Yes,0
Slider,L,0,1,No,Yes,No,0
Slider,L,0,0,No,Yes,No,0
4-Seam Fastball,R,0,0,No,No,No,0
4-Seam Fastball,L,1,0,Yes,No,Yes,2
Slider,L,0,0,Yes,No,Yes,2
4-Seam Fastball,R,2,0,No,No,Yes,2
Slider,R,1,0,No,No,Yes,2
Slider,R,0,0,No,No,Yes,2
4-Seam Fastball,L,0,0,No,No,No,2
4-Seam Fastball,L,1,2,No,No,No,1
Curveball,L,1,2,No,No,No,1
Curveball,L,0,2,No,No,No,1
Curveball,L,0,1,No,No,No,1
4-Seam Fastball,L,0,0,No,No,No,1
4-Seam Fastball,R,3,2,No,No,No,0
4-Seam Fastball,R,2,2,No,No,No,0
Slider,R,1,2,No,No,No,0
Curveball,R,0,2,No,No,No,0
Curveball,R,0,1,No,No,No,0
Slider,R,0,0,No,No,No,0
Slider,L,2,1,No,No,No,2
Slider,L,1,1,No,No,No,2
Slider,L,1,0,No,No,No,2
4-Seam Fastball,L,0,0,No,No,No,2
Slider,L,1,0,No,No,No,1
Curveball,L,0,0,No,No,No,1
Curveball,L,2,2,No,No,No,0
Slider,L,2,1,No,No,No,0
4-Seam Fastball,L,1,1,No,No,No,0
Slider,L,0,1,No,No,No,0
4-Seam Fastball,L,0,0,No,No,No,0
Slider,R,3,2,No,No,Yes,2
Slider,R,2,2,No,No,Yes,2
Curveball,R,1,2,No,No,Yes,2
Curveball,R,0,2,No,No,Yes,2
4-Seam Fastball,R,0,2,No,No,Yes,2
4-Seam Fastball,R,0,1,No,No,Yes,2
Slider,R,0,0,No,No,Yes,2
Slider,R,0,0,No,No,Yes,1
Slider,R,1,1,No,No,No,1
4-Seam Fastball,R,0,1,No,No,No,1
4-Seam Fastball,R,0,0,No,No,No,1
Slider,L,3,2,No,No,No,0
Slider,L,3,2,No,No,No,0
4-Seam Fastball,L,2,2,No,No,No,0
Curveball,L,1,2,No,No,No,0
Slider,L,1,1,No,No,No,0
Slider,L,0,1,No,No,No,0
Slider,L,0,0,No,No,No,0
Curveball,R,0,2,No,No,No,2
Curveball,R,0,1,No,No,No,2
4-Seam Fastball,R,0,0,No,No,No,2
Slider,R,0,0,No,No,No,1
Slider,R,2,2,No,No,No,0
4-Seam Fastball,R,2,1,No,No,No,0
Slider,R,1,1,No,No,No,0
4-Seam Fastball,R,1,0,No,No,No,0
4-Seam Fastball,R,0,0,No,No,No,0
Slider,R,3,2,No,No,No,2
Curveball,R,2,2,No,No,No,2
4-Seam Fastball,R,2,2,No,No,No,2
Slider,R,2,1,No,No,No,2
Slider,R,1,1,No,No,No,2
Slider,R,1,0,No,No,No,2
Slider,R,0,0,No,No,No,2
4-Seam Fastball,R,1,2,No,No,No,1
Slider,R,1,1,No,No,No,1
Slider,R,0,1,No,No,No,1
Slider,R,0,0,No,No,No,1
4-Seam Fastball,R,3,2,No,No,No,0
4-Seam Fastball,R,2,2,No,No,No,0
Curveball,R,2,2,No,No,No,0
Curveball,R,1,2,No,No,No,0
4-Seam Fastball,R,1,1,No,No,No,0
Slider,R,0,1,No,No,No,0
Slider,R,0,0,No,No,No,0
Slider,R,2,1,No,Yes,No,2
Slider,R,2,0,No,Yes,No,2
4-Seam Fastball,R,1,0,No,Yes,No,2
Slider,R,0,0,No,Yes,No,2
Slider,R,2,1,No,No,Yes,1
4-Seam Fastball,R,1,1,No,No,Yes,1
4-Seam Fastball,R,0,1,No,No,Yes,1
Slider,R,0,0,No,No,Yes,1
4-Seam Fastball,L,3,0,No,No,No,1
4-Seam Fastball,L,2,0,No,No,No,1
Slider,L,1,0,No,No,No,1
4-Seam Fastball,L,0,0,No,No,No,1
Slider,R,0,1,No,No,No,0
Slider,R,0,0,No,No,No,0
4-Seam Fastball,R,3,2,No,No,No,2
4-Seam Fastball,R,3,1,No,No,No,2
4-Seam Fastball,R,2,1,No,No,No,2
4-Seam Fastball,R,2,0,No,No,No,2
Slider,R,1,0,No,No,No,2
4-Seam Fastball,R,0,0,No,No,No,2
Slider,R,2,1,No,No,No,1
Slider,R,1,1,No,No,No,1
Slider,R,0,1,No,No,No,1
4-Seam Fastball,R,0,0,No,No,No,1
4-Seam Fastball,R,0,0,No,No,No,0
Curveball,R,0,2,No,No,Yes,2
4-Seam Fastball,R,0,1,No,No,Yes,2
4-Seam Fastball,R,0,0,No,No,Yes,2
Slider,R,3,2,No,No,No,2
Slider,R,2,2,No,No,No,2
Curveball,R,1,2,No,No,No,2
Curveball,R,0,2,No,No,No,2
4-Seam Fastball,R,0,1,No,No,No,2
4-Seam Fastball,R,0,0,No,No,No,2
Slider,R,1,0,No,No,No,1
Slider,R,0,0,No,No,No,1
Slider,R,2,1,No,No,No,0
Slider,R,1,1,No,No,No,0
Sinker,R,1,0,No,No,No,0
4-Seam Fastball,R,0,0,No,No,No,0
Slider,L,1,2,No,Yes,No,2
Curveball,L,0,2,No,No,Yes,2
Slider,L,0,1,No,No,Yes,2
Slider,L,0,0,No,No,Yes,2
Curveball,L,0,2,No,No,No,2
Curveball,L,0,1,No,No,No,2
4-Seam Fastball,L,0,0,No,No,No,2
4-Seam Fastball,L,1,2,No,No,No,1
Curveball,L,1,1,No,No,No,1
Curveball,L,1,0,No,No,No,1
4-Seam Fastball,L,0,0,No,No,No,1
4-Seam Fastball,R,0,0,No,No,No,0
Curveball,L,2,2,No,No,No,2
Curveball,L,1,2,No,No,No,2
Curveball,L,1,1,No,No,No,2
4-Seam Fastball,L,1,0,No,No,No,2
Curveball,L,0,0,No,No,No,2
Slider,L,3,2,No,No,No,1
4-Seam Fastball,L,3,1,No,No,No,1
4-Seam Fastball,L,3,0,No,No,No,1
4-Seam Fastball,L,2,0,No,No,No,1
Slider,L,1,0,No,No,No,1
4-Seam Fastball,L,0,0,No,No,No,1
Slider,L,0,1,No,No,No,0
Slider,L,0,0,No,No,No,0
4-Seam Fastball,R,3,2,No,No,No,0
4-Seam Fastball,R,2,2,No,No,No,0
4-Seam Fastball,R,2,2,No,No,No,0
Slider,R,2,2,No,No,No,0
Curveball,R,1,2,No,No,No,0
Curveball,R,1,2,No,No,No,0
4-Seam Fastball,R,0,2,No,No,No,0
Curveball,R,0,1,No,No,No,0
4-Seam Fastball,R,0,0,No,No,No,0
Slider,L,1,1,No,No,No,2
Curveball,L,0,1,No,No,No,2
Curveball,L,0,0,No,No,No,2
Curveball,L,0,1,No,No,No,1
Curveball,L,0,0,No,No,No,1
4-Seam Fastball,L,0,0,No,No,No,0
Curveball,L,0,2,No,Yes,No,2
Curveball,L,0,1,No,Yes,No,2
4-Seam Fastball,L,0,0,No,Yes,No,2
Slider,R,2,0,No,Yes,No,2
4-Seam Fastball,R,1,0,No,Yes,No,2
Curveball,R,0,0,No,Yes,No,2
Curveball,L,2,2,No,Yes,No,1
Slider,L,2,1,No,Yes,No,1
Slider,L,1,1,Yes,No,Yes,1
4-Seam Fastball,L,1,0,Yes,No,Yes,1
Slider,L,0,0,Yes,No,Yes,1
Slider,L,3,1,Yes,Yes,No,1
Curveball,L,2,1,Yes,Yes,No,1
Slider,L,2,0,Yes,Yes,No,1
Slider,L,1,0,Yes,Yes,Yes,1
Slider,L,0,0,Yes,Yes,Yes,1
Slider,L,0,0,No,Yes,Yes,1
Slider,R,0,0,No,No,Yes,1
Slider,L,2,1,No,No,Yes,0
Slider,L,2,0,No,No,Yes,0
4-Seam Fastball,L,1,0,No,No,Yes,0
Curveball,L,0,0,No,No,Yes,0
Slider,L,0,0,No,No,No,0
Curveball,L,0,2,No,Yes,No,2
4-Seam Fastball,L,0,1,No,Yes,No,2
Slider,L,0,0,No,Yes,No,2
Curveball,L,0,2,No,No,Yes,1
Curveball,L,0,1,No,No,Yes,1
Curveball,L,0,0,No,No,Yes,1
Slider,R,0,1,Yes,No,Yes,0
4-Seam Fastball,R,0,0,Yes,No,Yes,0
Slider,L,0,1,No,Yes,Yes,0
Slider,L,0,0,No,Yes,Yes,0
Slider,L,2,2,No,No,Yes,0
4-Seam Fastball,L,2,2,No,No,Yes,0
Curveball,L,1,2,No,No,Yes,0
Slider,L,1,1,No,No,Yes,0
Slider,L,1,0,No,No,Yes,0
Slider,L,0,0,No,No,Yes,0
4-Seam Fastball,L,0,0,No,No,No,0
4-Seam Fastball,R,0,0,No,No,No,2
Slider,L,3,2,No,No,No,1
Slider,L,2,2,No,No,No,1
Slider,L,2,2,No,No,No,1
Curveball,L,1,2,No,No,No,1
Curveball,L,0,2,No,No,No,1
Slider,L,0,1,No,No,No,1
4-Seam Fastball,L,0,0,No,No,No,1
4-Seam Fastball,L,0,0,No,No,No,0
4-Seam Fastball,L,1,0,No,No,Yes,2
4-Seam Fastball,L,0,0,No,No,Yes,2
Slider,L,1,1,No,No,Yes,1
Slider,L,0,1,No,No,Yes,1
4-Seam Fastball,L,0,0,No,No,Yes,1
Slider,L,1,0,No,No,Yes,0
Slider,L,0,0,No,No,Yes,0
4-Seam Fastball,L,3,2,No,No,No,0
4-Seam Fastball,L,2,2,No,No,No,0
Curveball,L,1,2,No,No,No,0
Slider,L,1,1,No,No,No,0
4-Seam Fastball,L,1,0,No,No,No,0
4-Seam Fastball,L,0,0,No,No,No,0
Slider,L,1,2,Yes,Yes,Yes,2
4-Seam Fastball,L,1,1,Yes,Yes,Yes,2
Slider,L,0,1,Yes,Yes,Yes,2
Slider,L,0,0,Yes,Yes,Yes,2
Slider,L,0,2,Yes,Yes,Yes,1
4-Seam Fastball,L,0,1,Yes,Yes,Yes,1
Slider,L,0,0,Yes,Yes,Yes,1
4-Seam Fastball,L,3,1,No,Yes,Yes,1
4-Seam Fastball,L,2,1,No,Yes,Yes,1
Slider,L,1,1,No,Yes,Yes,1
4-Seam Fastball,L,1,0,No,Yes,Yes,1
Slider,L,0,0,No,Yes,Yes,1
4-Seam Fastball,L,3,2,No,Yes,Yes,0
4-Seam Fastball,L,3,1,No,Yes,Yes,0
Slider,L,2,1,No,Yes,Yes,0
4-Seam Fastball,L,1,1,No,Yes,Yes,0
Slider,L,1,0,No,Yes,Yes,0
Slider,L,0,0,No,Yes,Yes,0
Slider,R,0,1,No,Yes,Yes,0
Slider,R,0,0,No,Yes,Yes,0
4-Seam Fastball,L,3,2,No,No,Yes,0
4-Seam Fastball,L,3,2,No,No,Yes,0
4-Seam Fastball,L,2,2,No,No,Yes,0
4-Seam Fastball,L,2,1,No,No,Yes,0
Slider,L,1,1,No,No,Yes,0
4-Seam Fastball,L,1,0,No,No,Yes,0
4-Seam Fastball,L,0,0,No,No,Yes,0
Slider,L,0,0,No,No,No,0
4-Seam Fastball,L,1,2,No,No,No,2
Slider,L,1,1,No,No,No,2
Curveball,L,0,1,No,No,No,2
Curveball,L,0,0,No,No,No,2
4-Seam Fastball,L,0,1,No,No,No,1
Slider,L,0,0,No,No,No,1
Curveball,L,0,1,No,No,No,0
Slider,L,0,0,No,No,No,0
4-Seam Fastball,L,1,2,No,No,No,2
4-Seam Fastball,L,0,2,No,No,No,2
Curveball,L,0,1,No,No,No,2
4-Seam Fastball,L,0,0,No,No,No,2
Curveball,L,0,2,No,No,No,1
4-Seam Fastball,L,0,1,No,No,No,1
Slider,L,0,0,No,No,No,1
Slider,L,2,2,No,No,No,0
Slider,L,2,2,No,No,No,0
Curveball,L,1,2,No,No,No,0
4-Seam Fastball,L,1,2,No,No,No,0
Curveball,L,1,2,No,No,No,0
Curveball,L,0,2,No,No,No,0
Curveball,L,0,2,No,No,No,0
4-Seam Fastball,L,0,1,No,No,No,0
4-Seam Fastball,L,0,0,No,No,No,0
Slider,R,1,2,No,No,Yes,1
Slider,R,1,1,No,No,Yes,1
4-Seam Fastball,R,0,1,No,No,Yes,1
Slider,R,0,0,No,No,Yes,1
Slider,L,2,1,No,No,No,1
4-Seam Fastball,L,1,1,No,No,No,1
4-Seam Fastball,L,0,1,No,No,No,1
Slider,L,0,0,No,No,No,1
Curveball,L,0,2,No,No,No,0
